Seizure file	Match ID
HKG, 07-06, 2.6t	HK150
TWN, 07-06, 1.2t	TW64.208
TWN, 07-06, 1.2t	TW64.212
TWN, 07-06, 1.2t	TW64.225
TWN, 07-06, 1.2t	TW64.228
TWN, 07-06, 1.2t	TW64.230
TWN, 07-06, 1.2t	TW64.253
TWN, 07-06, 1.2t	TW64.261
TWN, 07-06, 1.2t	TW64.285
TWN, 07-06, 1.2t	TW64.302
TWN, 07-06, 1.2t	TW64.32
TWN, 07-06, 1.2t	TW64.355
TWN, 07-06, 1.2t	TW64.379
TWN, 07-06, 1.2t	TW64.4
TWN, 07-06, 1.2t	TW64.494
TWN, 07-06, 1.2t	TW64.537
TWN, 07-06, 1.2t	TW64.544
TWN, 07-06, 1.2t	TW64.563
TWN, 07-06, 1.2t	TW64.568
TWN, 07-06, 1.2t	TW64.595
TWN, 07-06, 1.2t	TW64.6
TWN, 07-06, 1.2t	TW64.604
TWN, 07-06, 1.2t	TW64.608
TWN, 07-06, 1.2t	TW64.676
TWN, 07-06, 1.2t	TW64.690
TWN, 07-06, 1.2t	TW64.7
TWN, 07-06, 1.2t	TW64.8
TWN, 07-06, 1.2t	TW64.90
TWN, 07-06, 1.2t	TW64.101-TW64.99
TWN, 07-06, 1.2t	TW64.10-TW64.92
TWN, 07-06, 1.2t	TW64.153-TW64.154
TWN, 07-06, 1.2t	TW64.22-TW64.86
TWN, 07-06, 1.2t	TW64.256-TW64.728
TWN, 07-06, 1.2t	TW64.3-TW64.5
TWN, 07-06, 1.2t	TW64.424-TW64.425
TWN, 07-06, 1.2t	TW64.490-TW64.622
TWN, 07-06, 1.2t	TW64.596-TW64.599
TWN, 07-06, 1.2t	TW64.598-TW64.600
TWN, 07-06, 1.2t	TW64.614-TW64.633
TWN, 07-06, 1.2t	TW64.629-TW64.635
TWN, 07-06, 1.2t	TW64.717-TW64.85
TWN, 07-06, 1.2t	TW64.726-TW64.729
TWN, 07-06, 3.0t	TW53.152
TWN, 07-06, 3.0t	TW53.191
TWN, 07-06, 3.0t	TW53.252
TWN, 07-06, 3.0t	TW53.31
TWN, 07-06, 3.0t	TW53.348
TWN, 07-06, 3.0t	TW53.372
TWN, 07-06, 3.0t	TW53.444
TWN, 07-06, 3.0t	TW53.452
TWN, 07-06, 3.0t	TW53.459
TWN, 07-06, 3.0t	TW53.479
TWN, 07-06, 3.0t	TW53.75
TWN, 07-06, 3.0t	TW53.1-TW53.121
TWN, 07-06, 3.0t	TW53.204-TW53.286
TWN, 07-06, 3.0t	TW53.2-TW53.3
TWN, 07-06, 3.0t	TW53.253-TW53.54
TWN, 07-06, 3.0t	TW53.304-TW53.402
TWN, 07-06, 3.0t	TW53.306-TW53.418
TWN, 07-06, 3.0t	TW53.32-TW53.460
TWN, 07-06, 3.0t	TW53.352-TW53.447
TWN, 07-06, 3.0t	TW53.353-TW53.55
TWN, 07-06, 3.0t	TW53.403-TW64.534
TWN, 07-06, 3.0t	TW53.441-TW53.466
TWN, 07-06, 3.0t	TW53.4-TW53.474
TWN, 07-06, 3.0t	TW53.458-TW53.72
TWN, 07-06, 3.0t	TW53.469-TW53.472
TWN, 07-06, 3.0t	TW53.470-TW53.473
TWN, 07-06, 3.0t	TW53.475-TW53.71
TWN, 07-06, 3.0t	TW53.476-TW53.74
TWN, 07-06, 3.0t	TW53.477-TW53.481
TWN, 07-06, 3.0t	TW53.483-TW53.484
SGP, 03-07, 0.5t	NFL02
SGP, 03-07, 0.5t	NFL04-NFL22
SGP, 03-07, 0.5t	NFL06-NFL52
SGP, 03-07, 0.5t	NFL08
SGP, 03-07, 0.5t	NFL10
SGP, 03-07, 0.5t	NFL12
SGP, 03-07, 0.5t	NFL13-NFL54
SGP, 03-07, 0.5t	NFL15-NFL17
SGP, 03-07, 0.5t	NFL18-NFL68
SGP, 03-07, 0.5t	NFL20
SGP, 03-07, 0.5t	NFL23-NFL27
SGP, 03-07, 0.5t	NFL25
SGP, 03-07, 0.5t	NFL26
SGP, 03-07, 0.5t	NFL28
SGP, 03-07, 0.5t	NFL34
SGP, 03-07, 0.5t	NFL37-NFL56
SGP, 03-07, 0.5t	NFL41
SGP, 03-07, 0.5t	NFL42
SGP, 03-07, 0.5t	NFL45
SGP, 03-07, 0.5t	NFL49
SGP, 03-07, 0.5t	NFL50-NFL57
SGP, 03-07, 0.5t	NFL58
SGP, 03-07, 0.5t	NFL59
SGP, 03-07, 0.5t	NFL60
SGP, 03-07, 0.5t	NFL63
SGP, 03-07, 0.5t	NFL79
SGP, 03-07, 0.5t	NFL83
SGP, 03-07, 0.5t	NFL87
SGP, 03-07, 0.5t	NFL89
KEN, 08-10, 1.5t	AVO002
KEN, 08-10, 1.5t	AVO003
KEN, 08-10, 1.5t	AVO004
KEN, 08-10, 1.5t	AVO005
KEN, 08-10, 1.5t	AVO006
KEN, 08-10, 1.5t	AVO007-AVO125
KEN, 08-10, 1.5t	AVO008
KEN, 08-10, 1.5t	AVO010
KEN, 08-10, 1.5t	AVO011
KEN, 08-10, 1.5t	AVO012-AVO143
KEN, 08-10, 1.5t	AVO015
KEN, 08-10, 1.5t	AVO016
KEN, 08-10, 1.5t	AVO017
KEN, 08-10, 1.5t	AVO018
KEN, 08-10, 1.5t	AVO019
KEN, 08-10, 1.5t	AVO020
KEN, 08-10, 1.5t	AVO021
KEN, 08-10, 1.5t	AVO024
KEN, 08-10, 1.5t	AVO025-AVO084
KEN, 08-10, 1.5t	AVO030
KEN, 08-10, 1.5t	AVO031
KEN, 08-10, 1.5t	AVO032
KEN, 08-10, 1.5t	AVO034-AVO126
